iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
01/03/2021,F,0-9,6,63303
01/03/2021,F,10-19,5,123124
01/03/2021,F,20-29,21,171310
01/03/2021,F,30-39,70,184391
01/03/2021,F,40-49,243,246176
01/03/2021,F,50-59,829,264798
01/03/2021,F,60-69,2375,154112
01/03/2021,F,70-79,7384,117280
01/03/2021,F,80-89,18261,119283
01/03/2021,F,>90,12997,56901
01/03/2021,F,Non noto,<5,52
01/03/2021,M,0-9,<5,68347
01/03/2021,M,10-19,6,134032
01/03/2021,M,20-29,29,174188
01/03/2021,M,30-39,113,175274
01/03/2021,M,40-49,558,218146
01/03/2021,M,50-59,2286,249340
01/03/2021,M,60-69,6704,170652
01/03/2021,M,70-79,15927,124668
01/03/2021,M,80-89,21687,81827
01/03/2021,M,>90,6644,17224
01/03/2021,M,Non noto,<5,49
01/03/2021,Non noto,20-29,<5,<5
01/03/2021,Non noto,30-39,<5,<5
01/03/2021,Non noto,40-49,<5,<5
01/03/2021,Non noto,50-59,<5,<5
01/03/2021,Non noto,60-69,<5,<5
01/03/2021,Non noto,80-89,<5,7
