iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
02/04/2022,F,0-9,14,678212
02/04/2022,F,10-19,13,962269
02/04/2022,F,20-29,40,935601
02/04/2022,F,30-39,148,1085235
02/04/2022,F,40-49,480,1304231
02/04/2022,F,50-59,1691,1146840
02/04/2022,F,60-69,4662,657169
02/04/2022,F,70-79,13005,429030
02/04/2022,F,80-89,28934,308460
02/04/2022,F,>90,19946,122104
02/04/2022,F,Non noto,<5,111
02/04/2022,M,0-9,10,730046
02/04/2022,M,10-19,16,986088
02/04/2022,M,20-29,76,897398
02/04/2022,M,30-39,249,927626
02/04/2022,M,40-49,1022,1102824
02/04/2022,M,50-59,4107,1041976
02/04/2022,M,60-69,11523,629165
02/04/2022,M,70-79,26082,413025
02/04/2022,M,80-89,34074,221629
02/04/2022,M,>90,11061,43088
02/04/2022,M,Non noto,<5,116
02/04/2022,Non noto,20-29,<5,<5
02/04/2022,Non noto,30-39,<5,<5
02/04/2022,Non noto,40-49,<5,<5
02/04/2022,Non noto,50-59,<5,<5
02/04/2022,Non noto,60-69,<5,<5
02/04/2022,Non noto,80-89,<5,7
