iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
04/12/2021,F,0-9,7,154257
04/12/2021,F,10-19,10,259355
04/12/2021,F,20-29,31,301962
04/12/2021,F,30-39,112,329669
04/12/2021,F,40-49,385,425963
04/12/2021,F,50-59,1401,432903
04/12/2021,F,60-69,3886,260717
04/12/2021,F,70-79,10929,191446
04/12/2021,F,80-89,24549,165441
04/12/2021,F,>90,16871,71952
04/12/2021,F,Non noto,<5,52
04/12/2021,M,0-9,7,164949
04/12/2021,M,10-19,10,282743
04/12/2021,M,20-29,49,317369
04/12/2021,M,30-39,188,311669
04/12/2021,M,40-49,865,385546
04/12/2021,M,50-59,3508,415502
04/12/2021,M,60-69,10023,277213
04/12/2021,M,70-79,22625,195931
04/12/2021,M,80-89,29022,115667
04/12/2021,M,>90,8987,23466
04/12/2021,M,Non noto,<5,47
04/12/2021,Non noto,20-29,<5,<5
04/12/2021,Non noto,30-39,<5,<5
04/12/2021,Non noto,40-49,<5,<5
04/12/2021,Non noto,50-59,<5,<5
04/12/2021,Non noto,60-69,<5,<5
04/12/2021,Non noto,80-89,<5,7
