iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
17/11/2021,F,0-9,7,142103
17/11/2021,F,10-19,10,245923
17/11/2021,F,20-29,31,292867
17/11/2021,F,30-39,110,316464
17/11/2021,F,40-49,381,407583
17/11/2021,F,50-59,1387,418035
17/11/2021,F,60-69,3847,250707
17/11/2021,F,70-79,10827,184548
17/11/2021,F,80-89,24341,161987
17/11/2021,F,>90,16725,70756
17/11/2021,F,Non noto,<5,53
17/11/2021,M,0-9,7,152038
17/11/2021,M,10-19,10,268164
17/11/2021,M,20-29,48,308737
17/11/2021,M,30-39,185,301091
17/11/2021,M,40-49,861,369972
17/11/2021,M,50-59,3476,401208
17/11/2021,M,60-69,9965,267819
17/11/2021,M,70-79,22443,189006
17/11/2021,M,80-89,28789,112877
17/11/2021,M,>90,8892,23005
17/11/2021,M,Non noto,<5,48
17/11/2021,Non noto,20-29,<5,<5
17/11/2021,Non noto,30-39,<5,<5
17/11/2021,Non noto,40-49,<5,<5
17/11/2021,Non noto,50-59,<5,<5
17/11/2021,Non noto,60-69,<5,<5
17/11/2021,Non noto,80-89,<5,7
