iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
12/05/2021,F,0-9,6,106223
12/05/2021,F,10-19,7,186955
12/05/2021,F,20-29,23,239115
12/05/2021,F,30-39,85,261668
12/05/2021,F,40-49,316,344808
12/05/2021,F,50-59,1173,364516
12/05/2021,F,60-69,3334,218814
12/05/2021,F,70-79,9832,163890
12/05/2021,F,80-89,22662,148228
12/05/2021,F,>90,15617,65739
12/05/2021,F,Non noto,<5,56
12/05/2021,M,0-9,5,114025
12/05/2021,M,10-19,9,203065
12/05/2021,M,20-29,40,245613
12/05/2021,M,30-39,144,249014
12/05/2021,M,40-49,737,313120
12/05/2021,M,50-59,3014,350414
12/05/2021,M,60-69,8899,236653
12/05/2021,M,70-79,20639,169272
12/05/2021,M,80-89,26989,102791
12/05/2021,M,>90,8237,21010
12/05/2021,M,Non noto,<5,53
12/05/2021,Non noto,20-29,<5,<5
12/05/2021,Non noto,30-39,<5,<5
12/05/2021,Non noto,40-49,<5,<5
12/05/2021,Non noto,50-59,<5,<5
12/05/2021,Non noto,60-69,<5,<5
12/05/2021,Non noto,80-89,<5,7
