iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
15/12/2020,F,0-9,ASINTOMATICO,10386
15/12/2020,F,0-9,CRITICO,10
15/12/2020,F,0-9,LIEVE,1979
15/12/2020,F,0-9,PAUCI-SINTOMATICO,1067
15/12/2020,F,0-9,SEVERO,85
15/12/2020,F,10-19,ASINTOMATICO,20812
15/12/2020,F,10-19,CRITICO,<5
15/12/2020,F,10-19,LIEVE,5617
15/12/2020,F,10-19,PAUCI-SINTOMATICO,3244
15/12/2020,F,10-19,SEVERO,95
15/12/2020,F,20-29,ASINTOMATICO,28698
15/12/2020,F,20-29,CRITICO,13
15/12/2020,F,20-29,LIEVE,9886
15/12/2020,F,20-29,PAUCI-SINTOMATICO,5251
15/12/2020,F,20-29,SEVERO,340
15/12/2020,F,30-39,ASINTOMATICO,28394
15/12/2020,F,30-39,CRITICO,26
15/12/2020,F,30-39,LIEVE,11329
15/12/2020,F,30-39,PAUCI-SINTOMATICO,6012
15/12/2020,F,30-39,SEVERO,559
15/12/2020,F,40-49,ASINTOMATICO,36277
15/12/2020,F,40-49,CRITICO,76
15/12/2020,F,40-49,LIEVE,16513
15/12/2020,F,40-49,PAUCI-SINTOMATICO,8323
15/12/2020,F,40-49,SEVERO,776
15/12/2020,F,50-59,ASINTOMATICO,39519
15/12/2020,F,50-59,CRITICO,138
15/12/2020,F,50-59,LIEVE,17352
15/12/2020,F,50-59,PAUCI-SINTOMATICO,8951
15/12/2020,F,50-59,SEVERO,1296
15/12/2020,F,60-69,ASINTOMATICO,23259
15/12/2020,F,60-69,CRITICO,301
15/12/2020,F,60-69,LIEVE,9501
15/12/2020,F,60-69,PAUCI-SINTOMATICO,4917
15/12/2020,F,60-69,SEVERO,1579
15/12/2020,F,70-79,ASINTOMATICO,16902
15/12/2020,F,70-79,CRITICO,323
15/12/2020,F,70-79,LIEVE,6616
15/12/2020,F,70-79,PAUCI-SINTOMATICO,3158
15/12/2020,F,70-79,SEVERO,2497
15/12/2020,F,80-89,ASINTOMATICO,17558
15/12/2020,F,80-89,CRITICO,221
15/12/2020,F,80-89,LIEVE,5437
15/12/2020,F,80-89,PAUCI-SINTOMATICO,2501
15/12/2020,F,80-89,SEVERO,3442
15/12/2020,F,>90,ASINTOMATICO,9178
15/12/2020,F,>90,CRITICO,41
15/12/2020,F,>90,LIEVE,1945
15/12/2020,F,>90,PAUCI-SINTOMATICO,937
15/12/2020,F,>90,SEVERO,1103
15/12/2020,F,Non noto,ASINTOMATICO,28
15/12/2020,F,Non noto,LIEVE,<5
15/12/2020,F,Non noto,PAUCI-SINTOMATICO,<5
15/12/2020,F,Non noto,SEVERO,<5
15/12/2020,M,0-9,ASINTOMATICO,10968
15/12/2020,M,0-9,CRITICO,6
15/12/2020,M,0-9,LIEVE,2264
15/12/2020,M,0-9,PAUCI-SINTOMATICO,1173
15/12/2020,M,0-9,SEVERO,114
15/12/2020,M,10-19,ASINTOMATICO,23144
15/12/2020,M,10-19,CRITICO,9
15/12/2020,M,10-19,LIEVE,5794
15/12/2020,M,10-19,PAUCI-SINTOMATICO,3203
15/12/2020,M,10-19,SEVERO,104
15/12/2020,M,20-29,ASINTOMATICO,30264
15/12/2020,M,20-29,CRITICO,21
15/12/2020,M,20-29,LIEVE,9782
15/12/2020,M,20-29,PAUCI-SINTOMATICO,4865
15/12/2020,M,20-29,SEVERO,272
15/12/2020,M,30-39,ASINTOMATICO,28932
15/12/2020,M,30-39,CRITICO,55
15/12/2020,M,30-39,LIEVE,10298
15/12/2020,M,30-39,PAUCI-SINTOMATICO,5090
15/12/2020,M,30-39,SEVERO,523
15/12/2020,M,40-49,ASINTOMATICO,33034
15/12/2020,M,40-49,CRITICO,151
15/12/2020,M,40-49,LIEVE,13501
15/12/2020,M,40-49,PAUCI-SINTOMATICO,6170
15/12/2020,M,40-49,SEVERO,1155
15/12/2020,M,50-59,ASINTOMATICO,37911
15/12/2020,M,50-59,CRITICO,435
15/12/2020,M,50-59,LIEVE,15803
15/12/2020,M,50-59,PAUCI-SINTOMATICO,7345
15/12/2020,M,50-59,SEVERO,2460
15/12/2020,M,60-69,ASINTOMATICO,25318
15/12/2020,M,60-69,CRITICO,822
15/12/2020,M,60-69,LIEVE,9991
15/12/2020,M,60-69,PAUCI-SINTOMATICO,4642
15/12/2020,M,60-69,SEVERO,3088
15/12/2020,M,70-79,ASINTOMATICO,16049
15/12/2020,M,70-79,CRITICO,876
15/12/2020,M,70-79,LIEVE,6813
15/12/2020,M,70-79,PAUCI-SINTOMATICO,2849
15/12/2020,M,70-79,SEVERO,3783
15/12/2020,M,80-89,ASINTOMATICO,9495
15/12/2020,M,80-89,CRITICO,299
15/12/2020,M,80-89,LIEVE,4006
15/12/2020,M,80-89,PAUCI-SINTOMATICO,1645
15/12/2020,M,80-89,SEVERO,3189
15/12/2020,M,>90,ASINTOMATICO,2121
15/12/2020,M,>90,CRITICO,25
15/12/2020,M,>90,LIEVE,726
15/12/2020,M,>90,PAUCI-SINTOMATICO,302
15/12/2020,M,>90,SEVERO,589
15/12/2020,M,Non noto,ASINTOMATICO,25
15/12/2020,M,Non noto,LIEVE,<5
15/12/2020,M,Non noto,PAUCI-SINTOMATICO,<5
