iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
30/01/2022,F,0-9,10,406147
30/01/2022,F,10-19,13,636551
30/01/2022,F,20-29,33,688901
30/01/2022,F,30-39,127,735407
30/01/2022,F,40-49,428,895259
30/01/2022,F,50-59,1529,821601
30/01/2022,F,60-69,4267,462420
30/01/2022,F,70-79,11929,307066
30/01/2022,F,80-89,26396,228345
30/01/2022,F,>90,18092,92542
30/01/2022,F,Non noto,5,146
30/01/2022,M,0-9,7,435932
30/01/2022,M,10-19,14,659462
30/01/2022,M,20-29,58,693527
30/01/2022,M,30-39,219,669951
30/01/2022,M,40-49,947,785166
30/01/2022,M,50-59,3799,772870
30/01/2022,M,60-69,10753,466766
30/01/2022,M,70-79,24228,303118
30/01/2022,M,80-89,31183,162364
30/01/2022,M,>90,9840,31807
30/01/2022,M,Non noto,6,150
30/01/2022,Non noto,20-29,<5,<5
30/01/2022,Non noto,30-39,<5,<5
30/01/2022,Non noto,40-49,<5,<5
30/01/2022,Non noto,50-59,<5,<5
30/01/2022,Non noto,60-69,<5,<5
30/01/2022,Non noto,80-89,<5,7
