iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
29/05/2021,F,0-9,6,110337
29/05/2021,F,10-19,8,192762
29/05/2021,F,20-29,23,244133
29/05/2021,F,30-39,88,267488
29/05/2021,F,40-49,322,352252
29/05/2021,F,50-59,1199,371109
29/05/2021,F,60-69,3468,222741
29/05/2021,F,70-79,10091,166182
29/05/2021,F,80-89,23002,149359
29/05/2021,F,>90,15806,66155
29/05/2021,F,Non noto,<5,55
29/05/2021,M,0-9,<5,118377
29/05/2021,M,10-19,10,209424
29/05/2021,M,20-29,42,251083
29/05/2021,M,30-39,151,254523
29/05/2021,M,40-49,760,320145
29/05/2021,M,50-59,3109,357074
29/05/2021,M,60-69,9153,240536
29/05/2021,M,70-79,21161,171446
29/05/2021,M,80-89,27353,103516
29/05/2021,M,>90,8367,21184
29/05/2021,M,Non noto,<5,49
29/05/2021,Non noto,20-29,<5,<5
29/05/2021,Non noto,30-39,<5,<5
29/05/2021,Non noto,40-49,<5,<5
29/05/2021,Non noto,50-59,<5,<5
29/05/2021,Non noto,60-69,<5,<5
29/05/2021,Non noto,80-89,<5,7
