iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
23/03/2022,F,0-9,13,642804
23/03/2022,F,10-19,13,915969
23/03/2022,F,20-29,39,895801
23/03/2022,F,30-39,143,1030015
23/03/2022,F,40-49,480,1238759
23/03/2022,F,50-59,1678,1088912
23/03/2022,F,60-69,4623,618787
23/03/2022,F,70-79,12894,403569
23/03/2022,F,80-89,28667,292737
23/03/2022,F,>90,19753,117131
23/03/2022,F,Non noto,<5,110
23/03/2022,M,0-9,10,692773
23/03/2022,M,10-19,15,942722
23/03/2022,M,20-29,75,865967
23/03/2022,M,30-39,249,886306
23/03/2022,M,40-49,1017,1052441
23/03/2022,M,50-59,4079,996197
23/03/2022,M,60-69,11456,597556
23/03/2022,M,70-79,25924,389940
23/03/2022,M,80-89,33797,209021
23/03/2022,M,>90,10932,40967
23/03/2022,M,Non noto,<5,120
23/03/2022,Non noto,20-29,<5,<5
23/03/2022,Non noto,30-39,<5,<5
23/03/2022,Non noto,40-49,<5,<5
23/03/2022,Non noto,50-59,<5,<5
23/03/2022,Non noto,60-69,<5,<5
23/03/2022,Non noto,80-89,<5,7
