iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
19/04/2022,F,0-9,14,724280
19/04/2022,F,10-19,13,1021979
19/04/2022,F,20-29,41,988736
19/04/2022,F,30-39,153,1162340
19/04/2022,F,40-49,493,1398435
19/04/2022,F,50-59,1723,1235594
19/04/2022,F,60-69,4747,718696
19/04/2022,F,70-79,13191,472445
19/04/2022,F,80-89,29397,336281
19/04/2022,F,>90,20250,130877
19/04/2022,F,Non noto,<5,102
19/04/2022,M,0-9,10,777845
19/04/2022,M,10-19,16,1039832
19/04/2022,M,20-29,79,938359
19/04/2022,M,30-39,254,985601
19/04/2022,M,40-49,1028,1175167
19/04/2022,M,50-59,4147,1111703
19/04/2022,M,60-69,11630,679312
19/04/2022,M,70-79,26345,452145
19/04/2022,M,80-89,34567,243405
19/04/2022,M,>90,11288,46723
19/04/2022,M,Non noto,<5,116
19/04/2022,Non noto,20-29,<5,<5
19/04/2022,Non noto,30-39,<5,<5
19/04/2022,Non noto,40-49,<5,<5
19/04/2022,Non noto,50-59,<5,<5
19/04/2022,Non noto,60-69,<5,<5
19/04/2022,Non noto,80-89,<5,7
