iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
02/03/2022,F,0-9,12,580224
02/03/2022,F,10-19,13,823271
02/03/2022,F,20-29,36,821792
02/03/2022,F,30-39,141,937495
02/03/2022,F,40-49,462,1128499
02/03/2022,F,50-59,1636,996524
02/03/2022,F,60-69,4505,562495
02/03/2022,F,70-79,12627,367747
02/03/2022,F,80-89,27947,270050
02/03/2022,F,>90,19252,109217
02/03/2022,F,Non noto,<5,110
02/03/2022,M,0-9,10,627552
02/03/2022,M,10-19,14,855722
02/03/2022,M,20-29,70,807335
02/03/2022,M,30-39,242,818115
02/03/2022,M,40-49,998,970361
02/03/2022,M,50-59,3999,923404
02/03/2022,M,60-69,11271,550965
02/03/2022,M,70-79,25439,356778
02/03/2022,M,80-89,33002,191636
02/03/2022,M,>90,10581,37930
02/03/2022,M,Non noto,<5,134
02/03/2022,Non noto,20-29,<5,<5
02/03/2022,Non noto,30-39,<5,<5
02/03/2022,Non noto,40-49,<5,<5
02/03/2022,Non noto,50-59,<5,<5
02/03/2022,Non noto,60-69,<5,<5
02/03/2022,Non noto,80-89,<5,7
