,,,,,,,,,
,"*N.B. se il totale dei casi è inferiore a 5 viene indicato con ""<5""",,,,,,,,
,Foglio,,,Contenuto,,,,,
,,,,,,,,,
,casi_prelievo_diagnosi,,,Numero casi per data prelievo/diagnosi aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,casi_inizio_sintomi,,,Numero casi per data inizio sintomi aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,casi_inizio_sintomi_sint,,,Numero casi per data inizio sintomi  i casi di infezione confermata da virus SARS-CoV-2 per cui è indicata una data inizio sintomi tranne i casi dichiarati asintomatici aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,casi_regioni,,,Numero totale casi dall'inizio dell'epidemia per regione/PA di diagnosi aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,casi_province,,,Numero totale casi dall'inizio dell'epidemia per provincia di domicilio/residenza aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ricoveri,,,Numero ricoveri per data di ricovero aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,decessi,,,Numero decessi per data di decesso aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,sesso_eta,,,Numero totale casi e decessi dall'inizio dell'epidemia per sesso e per fascia d'età aggiornati alla data riportata in iss_date,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,stato_clinico,,,"Numero totale casi con malattia ancora in corso e con esito finale ancora non definito dall'inizio dell'epidemia, differenziati per sintomatologia più recente, per sesso e per fascia d'età aggiornati alla data riportata in iss_date",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
