iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
20/03/2022,F,0-9,13,627877
20/03/2022,F,10-19,13,895424
20/03/2022,F,20-29,38,879192
20/03/2022,F,30-39,141,1007956
20/03/2022,F,40-49,478,1212026
20/03/2022,F,50-59,1669,1065589
20/03/2022,F,60-69,4605,604043
20/03/2022,F,70-79,12848,394160
20/03/2022,F,80-89,28544,286843
20/03/2022,F,>90,19687,115211
20/03/2022,F,Non noto,<5,110
20/03/2022,M,0-9,10,677184
20/03/2022,M,10-19,15,923651
20/03/2022,M,20-29,73,853015
20/03/2022,M,30-39,247,870299
20/03/2022,M,40-49,1014,1032477
20/03/2022,M,50-59,4069,978206
20/03/2022,M,60-69,11432,585479
20/03/2022,M,70-79,25855,381270
20/03/2022,M,80-89,33684,204423
20/03/2022,M,>90,10891,40217
20/03/2022,M,Non noto,7,127
20/03/2022,Non noto,20-29,<5,<5
20/03/2022,Non noto,30-39,<5,<5
20/03/2022,Non noto,40-49,<5,<5
20/03/2022,Non noto,50-59,<5,<5
20/03/2022,Non noto,60-69,<5,<5
20/03/2022,Non noto,80-89,<5,7
