iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
05/02/2021,F,0-9,ASINTOMATICO,10095
05/02/2021,F,0-9,CRITICO,<5
05/02/2021,F,0-9,LIEVE,1807
05/02/2021,F,0-9,PAUCI-SINTOMATICO,1126
05/02/2021,F,0-9,SEVERO,71
05/02/2021,F,10-19,ASINTOMATICO,17170
05/02/2021,F,10-19,CRITICO,<5
05/02/2021,F,10-19,LIEVE,4013
05/02/2021,F,10-19,PAUCI-SINTOMATICO,2801
05/02/2021,F,10-19,SEVERO,70
05/02/2021,F,20-29,ASINTOMATICO,22661
05/02/2021,F,20-29,CRITICO,7
05/02/2021,F,20-29,LIEVE,6594
05/02/2021,F,20-29,PAUCI-SINTOMATICO,4513
05/02/2021,F,20-29,SEVERO,244
05/02/2021,F,30-39,ASINTOMATICO,22972
05/02/2021,F,30-39,CRITICO,23
05/02/2021,F,30-39,LIEVE,7599
05/02/2021,F,30-39,PAUCI-SINTOMATICO,5065
05/02/2021,F,30-39,SEVERO,470
05/02/2021,F,40-49,ASINTOMATICO,28284
05/02/2021,F,40-49,CRITICO,52
05/02/2021,F,40-49,LIEVE,10533
05/02/2021,F,40-49,PAUCI-SINTOMATICO,6651
05/02/2021,F,40-49,SEVERO,538
05/02/2021,F,50-59,ASINTOMATICO,31752
05/02/2021,F,50-59,CRITICO,117
05/02/2021,F,50-59,LIEVE,11061
05/02/2021,F,50-59,PAUCI-SINTOMATICO,6943
05/02/2021,F,50-59,SEVERO,989
05/02/2021,F,60-69,ASINTOMATICO,19782
05/02/2021,F,60-69,CRITICO,242
05/02/2021,F,60-69,LIEVE,6665
05/02/2021,F,60-69,PAUCI-SINTOMATICO,4246
05/02/2021,F,60-69,SEVERO,1367
05/02/2021,F,70-79,ASINTOMATICO,14468
05/02/2021,F,70-79,CRITICO,279
05/02/2021,F,70-79,LIEVE,4840
05/02/2021,F,70-79,PAUCI-SINTOMATICO,2752
05/02/2021,F,70-79,SEVERO,2149
05/02/2021,F,80-89,ASINTOMATICO,13826
05/02/2021,F,80-89,CRITICO,160
05/02/2021,F,80-89,LIEVE,3880
05/02/2021,F,80-89,PAUCI-SINTOMATICO,2181
05/02/2021,F,80-89,SEVERO,3077
05/02/2021,F,>90,ASINTOMATICO,6423
05/02/2021,F,>90,CRITICO,43
05/02/2021,F,>90,LIEVE,1355
05/02/2021,F,>90,PAUCI-SINTOMATICO,795
05/02/2021,F,>90,SEVERO,967
05/02/2021,F,Non noto,ASINTOMATICO,25
05/02/2021,F,Non noto,PAUCI-SINTOMATICO,<5
05/02/2021,F,Non noto,SEVERO,<5
05/02/2021,M,0-9,ASINTOMATICO,10758
05/02/2021,M,0-9,CRITICO,<5
05/02/2021,M,0-9,LIEVE,2069
05/02/2021,M,0-9,PAUCI-SINTOMATICO,1182
05/02/2021,M,0-9,SEVERO,82
05/02/2021,M,10-19,ASINTOMATICO,18879
05/02/2021,M,10-19,CRITICO,<5
05/02/2021,M,10-19,LIEVE,4123
05/02/2021,M,10-19,PAUCI-SINTOMATICO,2783
05/02/2021,M,10-19,SEVERO,107
05/02/2021,M,20-29,ASINTOMATICO,23380
05/02/2021,M,20-29,CRITICO,20
05/02/2021,M,20-29,LIEVE,6255
05/02/2021,M,20-29,PAUCI-SINTOMATICO,4101
05/02/2021,M,20-29,SEVERO,227
05/02/2021,M,30-39,ASINTOMATICO,22874
05/02/2021,M,30-39,CRITICO,43
05/02/2021,M,30-39,LIEVE,6715
05/02/2021,M,30-39,PAUCI-SINTOMATICO,4392
05/02/2021,M,30-39,SEVERO,421
05/02/2021,M,40-49,ASINTOMATICO,26243
05/02/2021,M,40-49,CRITICO,138
05/02/2021,M,40-49,LIEVE,8926
05/02/2021,M,40-49,PAUCI-SINTOMATICO,5291
05/02/2021,M,40-49,SEVERO,937
05/02/2021,M,50-59,ASINTOMATICO,30260
05/02/2021,M,50-59,CRITICO,375
05/02/2021,M,50-59,LIEVE,10166
05/02/2021,M,50-59,PAUCI-SINTOMATICO,5916
05/02/2021,M,50-59,SEVERO,1940
05/02/2021,M,60-69,ASINTOMATICO,21052
05/02/2021,M,60-69,CRITICO,652
05/02/2021,M,60-69,LIEVE,6826
05/02/2021,M,60-69,PAUCI-SINTOMATICO,3908
05/02/2021,M,60-69,SEVERO,2446
05/02/2021,M,70-79,ASINTOMATICO,13416
05/02/2021,M,70-79,CRITICO,729
05/02/2021,M,70-79,LIEVE,4734
05/02/2021,M,70-79,PAUCI-SINTOMATICO,2388
05/02/2021,M,70-79,SEVERO,3130
05/02/2021,M,80-89,ASINTOMATICO,7807
05/02/2021,M,80-89,CRITICO,219
05/02/2021,M,80-89,LIEVE,2869
05/02/2021,M,80-89,PAUCI-SINTOMATICO,1336
05/02/2021,M,80-89,SEVERO,2674
05/02/2021,M,>90,ASINTOMATICO,1680
05/02/2021,M,>90,CRITICO,21
05/02/2021,M,>90,LIEVE,502
05/02/2021,M,>90,PAUCI-SINTOMATICO,261
05/02/2021,M,>90,SEVERO,505
05/02/2021,M,Non noto,ASINTOMATICO,18
05/02/2021,M,Non noto,LIEVE,<5
05/02/2021,M,Non noto,PAUCI-SINTOMATICO,<5
