iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
12/03/2022,F,0-9,12,602540
12/03/2022,F,10-19,13,857152
12/03/2022,F,20-29,38,847693
12/03/2022,F,30-39,141,969828
12/03/2022,F,40-49,470,1166681
12/03/2022,F,50-59,1658,1026834
12/03/2022,F,60-69,4576,580552
12/03/2022,F,70-79,12775,379180
12/03/2022,F,80-89,28348,277459
12/03/2022,F,>90,19540,112012
12/03/2022,F,Non noto,<5,105
12/03/2022,M,0-9,10,650659
12/03/2022,M,10-19,15,888289
12/03/2022,M,20-29,71,828423
12/03/2022,M,30-39,245,842069
12/03/2022,M,40-49,1010,999079
12/03/2022,M,50-59,4048,947629
12/03/2022,M,60-69,11385,566032
12/03/2022,M,70-79,25725,367269
12/03/2022,M,80-89,33466,197268
12/03/2022,M,>90,10796,38925
12/03/2022,M,Non noto,5,127
12/03/2022,Non noto,20-29,<5,<5
12/03/2022,Non noto,30-39,<5,<5
12/03/2022,Non noto,40-49,<5,<5
12/03/2022,Non noto,50-59,<5,<5
12/03/2022,Non noto,60-69,<5,<5
12/03/2022,Non noto,80-89,<5,7
