iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
06/01/2021,F,0-9,5,40557
06/01/2021,F,10-19,<5,85969
06/01/2021,F,20-29,16,128987
06/01/2021,F,30-39,60,136376
06/01/2021,F,40-49,189,184901
06/01/2021,F,50-59,655,201971
06/01/2021,F,60-69,1837,114247
06/01/2021,F,70-79,5774,87502
06/01/2021,F,80-89,14053,94103
06/01/2021,F,>90,10015,47045
06/01/2021,F,Non noto,<5,60
06/01/2021,M,0-9,5,43527
06/01/2021,M,10-19,7,94206
06/01/2021,M,20-29,21,131266
06/01/2021,M,30-39,94,131096
06/01/2021,M,40-49,441,161601
06/01/2021,M,50-59,1846,188454
06/01/2021,M,60-69,5351,129650
06/01/2021,M,70-79,12737,95372
06/01/2021,M,80-89,17132,64137
06/01/2021,M,>90,5104,13819
06/01/2021,M,Non noto,<5,62
06/01/2021,Non noto,20-29,<5,<5
06/01/2021,Non noto,30-39,<5,<5
06/01/2021,Non noto,40-49,<5,<5
06/01/2021,Non noto,50-59,<5,<5
06/01/2021,Non noto,60-69,<5,<5
06/01/2021,Non noto,80-89,<5,7
