iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
28/01/2021,F,0-9,5,48634
28/01/2021,F,10-19,<5,100471
28/01/2021,F,20-29,18,148163
28/01/2021,F,30-39,69,156847
28/01/2021,F,40-49,213,211149
28/01/2021,F,50-59,737,230336
28/01/2021,F,60-69,2077,132006
28/01/2021,F,70-79,6530,101207
28/01/2021,F,80-89,16209,106968
28/01/2021,F,>90,11535,52748
28/01/2021,F,Non noto,<5,59
28/01/2021,M,0-9,<5,52380
28/01/2021,M,10-19,5,109248
28/01/2021,M,20-29,27,150107
28/01/2021,M,30-39,102,149967
28/01/2021,M,40-49,495,184800
28/01/2021,M,50-59,2045,214627
28/01/2021,M,60-69,6009,147960
28/01/2021,M,70-79,14312,108755
28/01/2021,M,80-89,19400,72662
28/01/2021,M,>90,5868,15590
28/01/2021,M,Non noto,<5,55
28/01/2021,Non noto,20-29,<5,<5
28/01/2021,Non noto,30-39,<5,<5
28/01/2021,Non noto,40-49,<5,<5
28/01/2021,Non noto,50-59,<5,<5
28/01/2021,Non noto,60-69,<5,<5
28/01/2021,Non noto,80-89,<5,7
