iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
10/05/2022,F,0-9,15,770366
10/05/2022,F,10-19,13,1092298
10/05/2022,F,20-29,42,1053635
10/05/2022,F,30-39,156,1251071
10/05/2022,F,40-49,496,1505654
10/05/2022,F,50-59,1750,1347964
10/05/2022,F,60-69,4836,798193
10/05/2022,F,70-79,13400,531345
10/05/2022,F,80-89,29956,374974
10/05/2022,F,>90,20687,142471
10/05/2022,F,Non noto,<5,109
10/05/2022,M,0-9,12,826069
10/05/2022,M,10-19,16,1102226
10/05/2022,M,20-29,79,988044
10/05/2022,M,30-39,257,1051900
10/05/2022,M,40-49,1050,1255087
10/05/2022,M,50-59,4195,1194752
10/05/2022,M,60-69,11777,741338
10/05/2022,M,70-79,26705,503328
10/05/2022,M,80-89,35157,272864
10/05/2022,M,>90,11581,51474
10/05/2022,M,Non noto,<5,116
10/05/2022,Non noto,20-29,<5,<5
10/05/2022,Non noto,30-39,<5,<5
10/05/2022,Non noto,40-49,<5,<5
10/05/2022,Non noto,50-59,<5,<5
10/05/2022,Non noto,60-69,<5,<5
10/05/2022,Non noto,80-89,<5,7
