SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI,iss_date
F,0-9,18,911099,22/08/2022
F,10-19,16,1292335,22/08/2022
F,20-29,22,1316906,22/08/2022
F,30-39,167,1597311,22/08/2022
F,40-49,534,1925038,22/08/2022
F,50-59,1836,1839874,22/08/2022
F,60-69,5048,1173471,22/08/2022
F,70-79,14100,808967,22/08/2022
F,80-89,31784,521646,22/08/2022
F,>90,22207,179282,22/08/2022
F,Non noto,27,136,22/08/2022
M,0-9,20,976071,22/08/2022
M,10-19,18,1293195,22/08/2022
M,20-29,30,1203343,22/08/2022
M,30-39,277,1336275,22/08/2022
M,40-49,1096,1592272,22/08/2022
M,50-59,4337,1578887,22/08/2022
M,60-69,12145,1041644,22/08/2022
M,70-79,27692,746294,22/08/2022
M,80-89,37134,391305,22/08/2022
M,>90,12596,68670,22/08/2022
M,Non noto,54,169,22/08/2022
Non noto,20-29,<5,<5,22/08/2022
Non noto,30-39,<5,<5,22/08/2022
Non noto,40-49,<5,<5,22/08/2022
Non noto,50-59,<5,<5,22/08/2022
Non noto,60-69,<5,<5,22/08/2022
Non noto,80-89,<5,7,22/08/2022
