SESSO,AGE_GROUP,STATO_CLINICO,CASI,iss_date
F,0-9,ASINTOMATICO,44312,22/08/2022
F,0-9,CRITICO,8,22/08/2022
F,0-9,LIEVE,4537,22/08/2022
F,0-9,PAUCI-SINTOMATICO,7020,22/08/2022
F,0-9,SEVERO,95,22/08/2022
F,10-19,ASINTOMATICO,57955,22/08/2022
F,10-19,CRITICO,<5,22/08/2022
F,10-19,LIEVE,4997,22/08/2022
F,10-19,PAUCI-SINTOMATICO,8345,22/08/2022
F,10-19,SEVERO,36,22/08/2022
F,20-29,ASINTOMATICO,65155,22/08/2022
F,20-29,CRITICO,7,22/08/2022
F,20-29,LIEVE,6372,22/08/2022
F,20-29,PAUCI-SINTOMATICO,10029,22/08/2022
F,20-29,SEVERO,127,22/08/2022
F,30-39,ASINTOMATICO,79515,22/08/2022
F,30-39,CRITICO,15,22/08/2022
F,30-39,LIEVE,8154,22/08/2022
F,30-39,PAUCI-SINTOMATICO,12412,22/08/2022
F,30-39,SEVERO,163,22/08/2022
F,40-49,ASINTOMATICO,89586,22/08/2022
F,40-49,CRITICO,27,22/08/2022
F,40-49,LIEVE,10069,22/08/2022
F,40-49,PAUCI-SINTOMATICO,14842,22/08/2022
F,40-49,SEVERO,131,22/08/2022
F,50-59,ASINTOMATICO,98777,22/08/2022
F,50-59,CRITICO,49,22/08/2022
F,50-59,LIEVE,11067,22/08/2022
F,50-59,PAUCI-SINTOMATICO,19424,22/08/2022
F,50-59,SEVERO,269,22/08/2022
F,60-69,ASINTOMATICO,76081,22/08/2022
F,60-69,CRITICO,92,22/08/2022
F,60-69,LIEVE,7040,22/08/2022
F,60-69,PAUCI-SINTOMATICO,13432,22/08/2022
F,60-69,SEVERO,378,22/08/2022
F,70-79,ASINTOMATICO,55744,22/08/2022
F,70-79,CRITICO,100,22/08/2022
F,70-79,LIEVE,5466,22/08/2022
F,70-79,PAUCI-SINTOMATICO,9848,22/08/2022
F,70-79,SEVERO,675,22/08/2022
F,80-89,ASINTOMATICO,34675,22/08/2022
F,80-89,CRITICO,77,22/08/2022
F,80-89,LIEVE,4491,22/08/2022
F,80-89,PAUCI-SINTOMATICO,6554,22/08/2022
F,80-89,SEVERO,1141,22/08/2022
F,>90,ASINTOMATICO,11149,22/08/2022
F,>90,CRITICO,23,22/08/2022
F,>90,LIEVE,1623,22/08/2022
F,>90,PAUCI-SINTOMATICO,2111,22/08/2022
F,>90,SEVERO,528,22/08/2022
F,Non noto,ASINTOMATICO,12,22/08/2022
F,Non noto,PAUCI-SINTOMATICO,<5,22/08/2022
M,0-9,ASINTOMATICO,47810,22/08/2022
M,0-9,CRITICO,8,22/08/2022
M,0-9,LIEVE,4991,22/08/2022
M,0-9,PAUCI-SINTOMATICO,7581,22/08/2022
M,0-9,SEVERO,137,22/08/2022
M,10-19,ASINTOMATICO,56919,22/08/2022
M,10-19,CRITICO,6,22/08/2022
M,10-19,LIEVE,4877,22/08/2022
M,10-19,PAUCI-SINTOMATICO,7880,22/08/2022
M,10-19,SEVERO,46,22/08/2022
M,20-29,ASINTOMATICO,58157,22/08/2022
M,20-29,CRITICO,6,22/08/2022
M,20-29,LIEVE,5354,22/08/2022
M,20-29,PAUCI-SINTOMATICO,8523,22/08/2022
M,20-29,SEVERO,51,22/08/2022
M,30-39,ASINTOMATICO,67737,22/08/2022
M,30-39,CRITICO,20,22/08/2022
M,30-39,LIEVE,6293,22/08/2022
M,30-39,PAUCI-SINTOMATICO,9681,22/08/2022
M,30-39,SEVERO,89,22/08/2022
M,40-49,ASINTOMATICO,75752,22/08/2022
M,40-49,CRITICO,41,22/08/2022
M,40-49,LIEVE,7796,22/08/2022
M,40-49,PAUCI-SINTOMATICO,11521,22/08/2022
M,40-49,SEVERO,203,22/08/2022
M,50-59,ASINTOMATICO,82460,22/08/2022
M,50-59,CRITICO,109,22/08/2022
M,50-59,LIEVE,8749,22/08/2022
M,50-59,PAUCI-SINTOMATICO,14922,22/08/2022
M,50-59,SEVERO,396,22/08/2022
M,60-69,ASINTOMATICO,64889,22/08/2022
M,60-69,CRITICO,151,22/08/2022
M,60-69,LIEVE,6367,22/08/2022
M,60-69,PAUCI-SINTOMATICO,10512,22/08/2022
M,60-69,SEVERO,524,22/08/2022
M,70-79,ASINTOMATICO,50079,22/08/2022
M,70-79,CRITICO,167,22/08/2022
M,70-79,LIEVE,5082,22/08/2022
M,70-79,PAUCI-SINTOMATICO,8439,22/08/2022
M,70-79,SEVERO,914,22/08/2022
M,80-89,ASINTOMATICO,26888,22/08/2022
M,80-89,CRITICO,107,22/08/2022
M,80-89,LIEVE,3476,22/08/2022
M,80-89,PAUCI-SINTOMATICO,4703,22/08/2022
M,80-89,SEVERO,1103,22/08/2022
M,>90,ASINTOMATICO,4915,22/08/2022
M,>90,CRITICO,18,22/08/2022
M,>90,LIEVE,781,22/08/2022
M,>90,PAUCI-SINTOMATICO,936,22/08/2022
M,>90,SEVERO,307,22/08/2022
M,Non noto,ASINTOMATICO,34,22/08/2022
M,Non noto,LIEVE,<5,22/08/2022
F,Non noto,LIEVE,<5,22/08/2022
