iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
25/02/2022,F,0-9,ASINTOMATICO,71662
25/02/2022,F,0-9,CRITICO,7
25/02/2022,F,0-9,LIEVE,10116
25/02/2022,F,0-9,PAUCI-SINTOMATICO,14516
25/02/2022,F,0-9,SEVERO,170
25/02/2022,F,10-19,ASINTOMATICO,89186
25/02/2022,F,10-19,CRITICO,<5
25/02/2022,F,10-19,LIEVE,11274
25/02/2022,F,10-19,PAUCI-SINTOMATICO,17279
25/02/2022,F,10-19,SEVERO,90
25/02/2022,F,20-29,ASINTOMATICO,76848
25/02/2022,F,20-29,CRITICO,13
25/02/2022,F,20-29,LIEVE,10318
25/02/2022,F,20-29,PAUCI-SINTOMATICO,15088
25/02/2022,F,20-29,SEVERO,208
25/02/2022,F,30-39,ASINTOMATICO,94712
25/02/2022,F,30-39,CRITICO,18
25/02/2022,F,30-39,LIEVE,14007
25/02/2022,F,30-39,PAUCI-SINTOMATICO,19791
25/02/2022,F,30-39,SEVERO,303
25/02/2022,F,40-49,ASINTOMATICO,108701
25/02/2022,F,40-49,CRITICO,47
25/02/2022,F,40-49,LIEVE,17175
25/02/2022,F,40-49,PAUCI-SINTOMATICO,22864
25/02/2022,F,40-49,SEVERO,275
25/02/2022,F,50-59,ASINTOMATICO,88425
25/02/2022,F,50-59,CRITICO,100
25/02/2022,F,50-59,LIEVE,14535
25/02/2022,F,50-59,PAUCI-SINTOMATICO,18653
25/02/2022,F,50-59,SEVERO,427
25/02/2022,F,60-69,ASINTOMATICO,51237
25/02/2022,F,60-69,CRITICO,156
25/02/2022,F,60-69,LIEVE,8317
25/02/2022,F,60-69,PAUCI-SINTOMATICO,10113
25/02/2022,F,60-69,SEVERO,633
25/02/2022,F,70-79,ASINTOMATICO,31720
25/02/2022,F,70-79,CRITICO,168
25/02/2022,F,70-79,LIEVE,5537
25/02/2022,F,70-79,PAUCI-SINTOMATICO,6112
25/02/2022,F,70-79,SEVERO,976
25/02/2022,F,80-89,ASINTOMATICO,23430
25/02/2022,F,80-89,CRITICO,104
25/02/2022,F,80-89,LIEVE,3875
25/02/2022,F,80-89,PAUCI-SINTOMATICO,4199
25/02/2022,F,80-89,SEVERO,1523
25/02/2022,F,>90,ASINTOMATICO,9777
25/02/2022,F,>90,CRITICO,32
25/02/2022,F,>90,LIEVE,1440
25/02/2022,F,>90,PAUCI-SINTOMATICO,1562
25/02/2022,F,>90,SEVERO,594
25/02/2022,F,Non noto,ASINTOMATICO,24
25/02/2022,F,Non noto,LIEVE,<5
25/02/2022,F,Non noto,PAUCI-SINTOMATICO,<5
25/02/2022,M,0-9,ASINTOMATICO,78495
25/02/2022,M,0-9,CRITICO,11
25/02/2022,M,0-9,LIEVE,10997
25/02/2022,M,0-9,PAUCI-SINTOMATICO,15499
25/02/2022,M,0-9,SEVERO,254
25/02/2022,M,10-19,ASINTOMATICO,93555
25/02/2022,M,10-19,CRITICO,7
25/02/2022,M,10-19,LIEVE,11179
25/02/2022,M,10-19,PAUCI-SINTOMATICO,17071
25/02/2022,M,10-19,SEVERO,88
25/02/2022,M,20-29,ASINTOMATICO,73981
25/02/2022,M,20-29,CRITICO,10
25/02/2022,M,20-29,LIEVE,9310
25/02/2022,M,20-29,PAUCI-SINTOMATICO,12953
25/02/2022,M,20-29,SEVERO,96
25/02/2022,M,30-39,ASINTOMATICO,79259
25/02/2022,M,30-39,CRITICO,31
25/02/2022,M,30-39,LIEVE,10308
25/02/2022,M,30-39,PAUCI-SINTOMATICO,14291
25/02/2022,M,30-39,SEVERO,146
25/02/2022,M,40-49,ASINTOMATICO,93569
25/02/2022,M,40-49,CRITICO,78
25/02/2022,M,40-49,LIEVE,13050
25/02/2022,M,40-49,PAUCI-SINTOMATICO,16982
25/02/2022,M,40-49,SEVERO,395
25/02/2022,M,50-59,ASINTOMATICO,80769
25/02/2022,M,50-59,CRITICO,189
25/02/2022,M,50-59,LIEVE,12027
25/02/2022,M,50-59,PAUCI-SINTOMATICO,15329
25/02/2022,M,50-59,SEVERO,696
25/02/2022,M,60-69,ASINTOMATICO,47563
25/02/2022,M,60-69,CRITICO,290
25/02/2022,M,60-69,LIEVE,7211
25/02/2022,M,60-69,PAUCI-SINTOMATICO,8492
25/02/2022,M,60-69,SEVERO,947
25/02/2022,M,70-79,ASINTOMATICO,29223
25/02/2022,M,70-79,CRITICO,304
25/02/2022,M,70-79,LIEVE,5084
25/02/2022,M,70-79,PAUCI-SINTOMATICO,5255
25/02/2022,M,70-79,SEVERO,1346
25/02/2022,M,80-89,ASINTOMATICO,15989
25/02/2022,M,80-89,CRITICO,127
25/02/2022,M,80-89,LIEVE,2952
25/02/2022,M,80-89,PAUCI-SINTOMATICO,2798
25/02/2022,M,80-89,SEVERO,1363
25/02/2022,M,>90,ASINTOMATICO,3512
25/02/2022,M,>90,CRITICO,23
25/02/2022,M,>90,LIEVE,632
25/02/2022,M,>90,PAUCI-SINTOMATICO,609
25/02/2022,M,>90,SEVERO,364
25/02/2022,M,Non noto,ASINTOMATICO,49
25/02/2022,M,Non noto,LIEVE,<5
25/02/2022,M,Non noto,PAUCI-SINTOMATICO,<5
