iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
25/02/2022,F,0-9,11,565209
25/02/2022,F,10-19,13,805882
25/02/2022,F,20-29,36,808422
25/02/2022,F,30-39,137,918015
25/02/2022,F,40-49,459,1106083
25/02/2022,F,50-59,1623,979819
25/02/2022,F,60-69,4473,552193
25/02/2022,F,70-79,12530,361153
25/02/2022,F,80-89,27735,265647
25/02/2022,F,>90,19085,107522
25/02/2022,F,Non noto,<5,110
25/02/2022,M,0-9,10,610798
25/02/2022,M,10-19,14,838243
25/02/2022,M,20-29,70,796567
25/02/2022,M,30-39,236,804161
25/02/2022,M,40-49,990,953001
25/02/2022,M,50-59,3975,909836
25/02/2022,M,60-69,11212,542408
25/02/2022,M,70-79,25276,350744
25/02/2022,M,80-89,32776,188383
25/02/2022,M,>90,10481,37305
25/02/2022,M,Non noto,<5,136
25/02/2022,Non noto,20-29,<5,<5
25/02/2022,Non noto,30-39,<5,<5
25/02/2022,Non noto,40-49,<5,<5
25/02/2022,Non noto,50-59,<5,<5
25/02/2022,Non noto,60-69,<5,<5
25/02/2022,Non noto,80-89,<5,7
