iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
27/06/2022,F,0-9,16,818038
27/06/2022,F,10-19,14,1168771
27/06/2022,F,20-29,44,1136853
27/06/2022,F,30-39,157,1363329
27/06/2022,F,40-49,506,1640821
27/06/2022,F,50-59,1783,1494338
27/06/2022,F,60-69,4926,901938
27/06/2022,F,70-79,13652,605074
27/06/2022,F,80-89,30633,414869
27/06/2022,F,>90,21241,153322
27/06/2022,F,Non noto,<5,104
27/06/2022,M,0-9,11,876554
27/06/2022,M,10-19,16,1172324
27/06/2022,M,20-29,80,1052036
27/06/2022,M,30-39,265,1139836
27/06/2022,M,40-49,1066,1358342
27/06/2022,M,50-59,4256,1306774
27/06/2022,M,60-69,11930,823657
27/06/2022,M,70-79,27089,568234
27/06/2022,M,80-89,35852,304426
27/06/2022,M,>90,11934,56362
27/06/2022,M,Non noto,<5,104
27/06/2022,Non noto,20-29,<5,<5
27/06/2022,Non noto,30-39,<5,<5
27/06/2022,Non noto,40-49,<5,<5
27/06/2022,Non noto,50-59,<5,<5
27/06/2022,Non noto,60-69,<5,<5
27/06/2022,Non noto,80-89,<5,7
