iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
01/12/2021,F,0-9,7,151855
01/12/2021,F,10-19,10,256600
01/12/2021,F,20-29,31,300147
01/12/2021,F,30-39,112,326982
01/12/2021,F,40-49,385,422065
01/12/2021,F,50-59,1401,429791
01/12/2021,F,60-69,3883,258662
01/12/2021,F,70-79,10913,190096
01/12/2021,F,80-89,24512,164849
01/12/2021,F,>90,16848,71750
01/12/2021,F,Non noto,<5,52
01/12/2021,M,0-9,8,162387
01/12/2021,M,10-19,10,279732
01/12/2021,M,20-29,49,315586
01/12/2021,M,30-39,188,309447
01/12/2021,M,40-49,865,382260
01/12/2021,M,50-59,3504,412536
01/12/2021,M,60-69,10010,275348
01/12/2021,M,70-79,22592,194566
01/12/2021,M,80-89,28981,115195
01/12/2021,M,>90,8970,23384
01/12/2021,M,Non noto,<5,47
01/12/2021,Non noto,20-29,<5,<5
01/12/2021,Non noto,30-39,<5,<5
01/12/2021,Non noto,40-49,<5,<5
01/12/2021,Non noto,50-59,<5,<5
01/12/2021,Non noto,60-69,<5,<5
01/12/2021,Non noto,80-89,<5,7
