iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
15/12/2020,F,0-9,<5,33072
15/12/2020,F,10-19,<5,72714
15/12/2020,F,20-29,15,109004
15/12/2020,F,30-39,48,114188
15/12/2020,F,40-49,158,156230
15/12/2020,F,50-59,527,170962
15/12/2020,F,60-69,1526,95182
15/12/2020,F,70-79,4854,72872
15/12/2020,F,80-89,11477,80156
15/12/2020,F,>90,7990,40598
15/12/2020,F,Non noto,<5,62
15/12/2020,M,0-9,<5,35522
15/12/2020,M,10-19,<5,80303
15/12/2020,M,20-29,16,112064
15/12/2020,M,30-39,88,110740
15/12/2020,M,40-49,379,136082
15/12/2020,M,50-59,1581,160273
15/12/2020,M,60-69,4562,109505
15/12/2020,M,70-79,10806,80815
15/12/2020,M,80-89,14277,54886
15/12/2020,M,>90,4119,11812
15/12/2020,M,Non noto,<5,62
15/12/2020,Non noto,20-29,<5,<5
15/12/2020,Non noto,30-39,<5,<5
15/12/2020,Non noto,40-49,<5,<5
15/12/2020,Non noto,50-59,<5,<5
15/12/2020,Non noto,60-69,<5,<5
15/12/2020,Non noto,80-89,<5,7
