iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
22/01/2022,F,0-9,8,327893
22/01/2022,F,10-19,12,555821
22/01/2022,F,20-29,32,628603
22/01/2022,F,30-39,124,645511
22/01/2022,F,40-49,420,792339
22/01/2022,F,50-59,1502,745907
22/01/2022,F,60-69,4207,421590
22/01/2022,F,70-79,11712,283587
22/01/2022,F,80-89,25923,213019
22/01/2022,F,>90,17759,86791
22/01/2022,F,Non noto,5,92
22/01/2022,M,0-9,7,350867
22/01/2022,M,10-19,12,573277
22/01/2022,M,20-29,54,640038
22/01/2022,M,30-39,211,601031
22/01/2022,M,40-49,926,701178
22/01/2022,M,50-59,3756,704650
22/01/2022,M,60-69,10588,431285
22/01/2022,M,70-79,23872,282024
22/01/2022,M,80-89,30689,151450
22/01/2022,M,>90,9616,29603
22/01/2022,M,Non noto,5,91
22/01/2022,Non noto,20-29,<5,<5
22/01/2022,Non noto,30-39,<5,<5
22/01/2022,Non noto,40-49,<5,<5
22/01/2022,Non noto,50-59,<5,<5
22/01/2022,Non noto,60-69,<5,<5
22/01/2022,Non noto,80-89,<5,7
