iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
30/12/2021,F,0-9,7,192610
30/12/2021,F,10-19,11,316422
30/12/2021,F,20-29,31,362723
30/12/2021,F,30-39,114,388519
30/12/2021,F,40-49,396,495760
30/12/2021,F,50-59,1436,487461
30/12/2021,F,60-69,3977,292063
30/12/2021,F,70-79,11204,210669
30/12/2021,F,80-89,25062,174337
30/12/2021,F,>90,17194,74764
30/12/2021,F,Non noto,<5,54
30/12/2021,M,0-9,7,205831
30/12/2021,M,10-19,10,338972
30/12/2021,M,20-29,49,378312
30/12/2021,M,30-39,196,366354
30/12/2021,M,40-49,886,447622
30/12/2021,M,50-59,3594,468799
30/12/2021,M,60-69,10212,307976
30/12/2021,M,70-79,23102,215232
30/12/2021,M,80-89,29641,122564
30/12/2021,M,>90,9232,24674
30/12/2021,M,Non noto,<5,49
30/12/2021,Non noto,20-29,<5,<5
30/12/2021,Non noto,30-39,<5,<5
30/12/2021,Non noto,40-49,<5,<5
30/12/2021,Non noto,50-59,<5,<5
30/12/2021,Non noto,60-69,<5,<5
30/12/2021,Non noto,80-89,<5,7
