SESSO,AGE_GROUP,STATO_CLINICO,CASI,iss_date
F,0-9,ASINTOMATICO,33140,05/10/2022
F,0-9,CRITICO,<5,05/10/2022
F,0-9,LIEVE,3960,05/10/2022
F,0-9,PAUCI-SINTOMATICO,5689,05/10/2022
F,0-9,SEVERO,38,05/10/2022
F,10-19,ASINTOMATICO,46413,05/10/2022
F,10-19,CRITICO,<5,05/10/2022
F,10-19,LIEVE,5059,05/10/2022
F,10-19,PAUCI-SINTOMATICO,7429,05/10/2022
F,10-19,SEVERO,32,05/10/2022
F,20-29,ASINTOMATICO,47513,05/10/2022
F,20-29,CRITICO,6,05/10/2022
F,20-29,LIEVE,5781,05/10/2022
F,20-29,PAUCI-SINTOMATICO,8596,05/10/2022
F,20-29,SEVERO,66,05/10/2022
F,30-39,ASINTOMATICO,63459,05/10/2022
F,30-39,CRITICO,11,05/10/2022
F,30-39,LIEVE,8286,05/10/2022
F,30-39,PAUCI-SINTOMATICO,11200,05/10/2022
F,30-39,SEVERO,104,05/10/2022
F,40-49,ASINTOMATICO,75475,05/10/2022
F,40-49,CRITICO,25,05/10/2022
F,40-49,LIEVE,10892,05/10/2022
F,40-49,PAUCI-SINTOMATICO,14332,05/10/2022
F,40-49,SEVERO,115,05/10/2022
F,50-59,ASINTOMATICO,86712,05/10/2022
F,50-59,CRITICO,44,05/10/2022
F,50-59,LIEVE,12290,05/10/2022
F,50-59,PAUCI-SINTOMATICO,18630,05/10/2022
F,50-59,SEVERO,225,05/10/2022
F,60-69,ASINTOMATICO,68594,05/10/2022
F,60-69,CRITICO,88,05/10/2022
F,60-69,LIEVE,7541,05/10/2022
F,60-69,PAUCI-SINTOMATICO,12593,05/10/2022
F,60-69,SEVERO,349,05/10/2022
F,70-79,ASINTOMATICO,48356,05/10/2022
F,70-79,CRITICO,82,05/10/2022
F,70-79,LIEVE,5430,05/10/2022
F,70-79,PAUCI-SINTOMATICO,8886,05/10/2022
F,70-79,SEVERO,585,05/10/2022
F,80-89,ASINTOMATICO,29533,05/10/2022
F,80-89,CRITICO,66,05/10/2022
F,80-89,LIEVE,4056,05/10/2022
F,80-89,PAUCI-SINTOMATICO,5780,05/10/2022
F,80-89,SEVERO,929,05/10/2022
F,>90,ASINTOMATICO,9611,05/10/2022
F,>90,CRITICO,18,05/10/2022
F,>90,LIEVE,1434,05/10/2022
F,>90,PAUCI-SINTOMATICO,1880,05/10/2022
F,>90,SEVERO,397,05/10/2022
F,Non noto,ASINTOMATICO,278,05/10/2022
F,Non noto,PAUCI-SINTOMATICO,136,05/10/2022
M,0-9,ASINTOMATICO,35515,05/10/2022
M,0-9,CRITICO,5,05/10/2022
M,0-9,LIEVE,4320,05/10/2022
M,0-9,PAUCI-SINTOMATICO,6194,05/10/2022
M,0-9,SEVERO,75,05/10/2022
M,10-19,ASINTOMATICO,46070,05/10/2022
M,10-19,CRITICO,5,05/10/2022
M,10-19,LIEVE,5092,05/10/2022
M,10-19,PAUCI-SINTOMATICO,7261,05/10/2022
M,10-19,SEVERO,33,05/10/2022
M,20-29,ASINTOMATICO,41627,05/10/2022
M,20-29,CRITICO,5,05/10/2022
M,20-29,LIEVE,4952,05/10/2022
M,20-29,PAUCI-SINTOMATICO,7229,05/10/2022
M,20-29,SEVERO,39,05/10/2022
M,30-39,ASINTOMATICO,51210,05/10/2022
M,30-39,CRITICO,20,05/10/2022
M,30-39,LIEVE,6377,05/10/2022
M,30-39,PAUCI-SINTOMATICO,8536,05/10/2022
M,30-39,SEVERO,67,05/10/2022
M,40-49,ASINTOMATICO,59895,05/10/2022
M,40-49,CRITICO,37,05/10/2022
M,40-49,LIEVE,8298,05/10/2022
M,40-49,PAUCI-SINTOMATICO,10761,05/10/2022
M,40-49,SEVERO,164,05/10/2022
M,50-59,ASINTOMATICO,70335,05/10/2022
M,50-59,CRITICO,102,05/10/2022
M,50-59,LIEVE,9372,05/10/2022
M,50-59,PAUCI-SINTOMATICO,14331,05/10/2022
M,50-59,SEVERO,374,05/10/2022
M,60-69,ASINTOMATICO,57737,05/10/2022
M,60-69,CRITICO,132,05/10/2022
M,60-69,LIEVE,6474,05/10/2022
M,60-69,PAUCI-SINTOMATICO,9749,05/10/2022
M,60-69,SEVERO,474,05/10/2022
M,70-79,ASINTOMATICO,43407,05/10/2022
M,70-79,CRITICO,158,05/10/2022
M,70-79,LIEVE,4952,05/10/2022
M,70-79,PAUCI-SINTOMATICO,7497,05/10/2022
M,70-79,SEVERO,773,05/10/2022
M,80-89,ASINTOMATICO,23026,05/10/2022
M,80-89,CRITICO,94,05/10/2022
M,80-89,LIEVE,3209,05/10/2022
M,80-89,PAUCI-SINTOMATICO,4258,05/10/2022
M,80-89,SEVERO,902,05/10/2022
M,>90,ASINTOMATICO,4073,05/10/2022
M,>90,CRITICO,15,05/10/2022
M,>90,LIEVE,702,05/10/2022
M,>90,PAUCI-SINTOMATICO,820,05/10/2022
M,>90,SEVERO,256,05/10/2022
M,Non noto,ASINTOMATICO,247,05/10/2022
M,Non noto,LIEVE,<5,05/10/2022
M,Non noto,PAUCI-SINTOMATICO,110,05/10/2022
