iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
23/06/2022,F,0-9,16,813038
23/06/2022,F,10-19,14,1161631
23/06/2022,F,20-29,44,1125358
23/06/2022,F,30-39,157,1348457
23/06/2022,F,40-49,504,1623899
23/06/2022,F,50-59,1777,1474916
23/06/2022,F,60-69,4912,887839
23/06/2022,F,70-79,13636,594925
23/06/2022,F,80-89,30587,410018
23/06/2022,F,>90,21214,152243
23/06/2022,F,Non noto,<5,101
23/06/2022,M,0-9,11,871363
23/06/2022,M,10-19,16,1165558
23/06/2022,M,20-29,79,1042849
23/06/2022,M,30-39,265,1127533
23/06/2022,M,40-49,1066,1344600
23/06/2022,M,50-59,4252,1291346
23/06/2022,M,60-69,11924,812603
23/06/2022,M,70-79,27074,559391
23/06/2022,M,80-89,35819,300407
23/06/2022,M,>90,11911,55834
23/06/2022,M,Non noto,<5,103
23/06/2022,Non noto,20-29,<5,<5
23/06/2022,Non noto,30-39,<5,<5
23/06/2022,Non noto,40-49,<5,<5
23/06/2022,Non noto,50-59,<5,<5
23/06/2022,Non noto,60-69,<5,<5
23/06/2022,Non noto,80-89,<5,7
