iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
27/01/2021,F,0-9,5,48311
27/01/2021,F,10-19,<5,100107
27/01/2021,F,20-29,18,147779
27/01/2021,F,30-39,69,156344
27/01/2021,F,40-49,213,210510
27/01/2021,F,50-59,734,229641
27/01/2021,F,60-69,2070,131585
27/01/2021,F,70-79,6518,100921
27/01/2021,F,80-89,16166,106701
27/01/2021,F,>90,11498,52632
27/01/2021,F,Non noto,<5,59
27/01/2021,M,0-9,<5,52059
27/01/2021,M,10-19,5,108881
27/01/2021,M,20-29,27,149673
27/01/2021,M,30-39,102,149513
27/01/2021,M,40-49,494,184202
27/01/2021,M,50-59,2040,214006
27/01/2021,M,60-69,5986,147566
27/01/2021,M,70-79,14277,108450
27/01/2021,M,80-89,19342,72460
27/01/2021,M,>90,5846,15561
27/01/2021,M,Non noto,<5,56
27/01/2021,Non noto,20-29,<5,<5
27/01/2021,Non noto,30-39,<5,<5
27/01/2021,Non noto,40-49,<5,<5
27/01/2021,Non noto,50-59,<5,<5
27/01/2021,Non noto,60-69,<5,<5
27/01/2021,Non noto,80-89,<5,7
