iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
25/01/2021,F,0-9,5,47400
25/01/2021,F,10-19,<5,98849
25/01/2021,F,20-29,18,146336
25/01/2021,F,30-39,69,154693
25/01/2021,F,40-49,211,208284
25/01/2021,F,50-59,727,227249
25/01/2021,F,60-69,2042,130113
25/01/2021,F,70-79,6435,99791
25/01/2021,F,80-89,15934,105514
25/01/2021,F,>90,11339,52085
25/01/2021,F,Non noto,<5,59
25/01/2021,M,0-9,<5,51045
25/01/2021,M,10-19,5,107570
25/01/2021,M,20-29,27,148274
25/01/2021,M,30-39,103,147993
25/01/2021,M,40-49,490,182158
25/01/2021,M,50-59,2028,211739
25/01/2021,M,60-69,5928,146019
25/01/2021,M,70-79,14122,107319
25/01/2021,M,80-89,19102,71730
25/01/2021,M,>90,5765,15405
25/01/2021,M,Non noto,<5,58
25/01/2021,Non noto,20-29,<5,<5
25/01/2021,Non noto,30-39,<5,<5
25/01/2021,Non noto,40-49,<5,<5
25/01/2021,Non noto,50-59,<5,<5
25/01/2021,Non noto,60-69,<5,<5
25/01/2021,Non noto,80-89,<5,7
