iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
07/03/2022,F,0-9,12,588743
07/03/2022,F,10-19,13,835470
07/03/2022,F,20-29,37,831295
07/03/2022,F,30-39,140,949559
07/03/2022,F,40-49,464,1142749
07/03/2022,F,50-59,1643,1007407
07/03/2022,F,60-69,4529,569011
07/03/2022,F,70-79,12672,371947
07/03/2022,F,80-89,28077,272929
07/03/2022,F,>90,19358,110333
07/03/2022,F,Non noto,<5,111
07/03/2022,M,0-9,10,636294
07/03/2022,M,10-19,14,867613
07/03/2022,M,20-29,70,815110
07/03/2022,M,30-39,243,827101
07/03/2022,M,40-49,999,981056
07/03/2022,M,50-59,4011,932128
07/03/2022,M,60-69,11301,556404
07/03/2022,M,70-79,25523,360657
07/03/2022,M,80-89,33140,193806
07/03/2022,M,>90,10653,38341
07/03/2022,M,Non noto,<5,140
07/03/2022,Non noto,20-29,<5,<5
07/03/2022,Non noto,30-39,<5,<5
07/03/2022,Non noto,40-49,<5,<5
07/03/2022,Non noto,50-59,<5,<5
07/03/2022,Non noto,60-69,<5,<5
07/03/2022,Non noto,80-89,<5,7
