iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
24/03/2021,F,0-9,ASINTOMATICO,14433
24/03/2021,F,0-9,CRITICO,<5
24/03/2021,F,0-9,LIEVE,3191
24/03/2021,F,0-9,PAUCI-SINTOMATICO,2516
24/03/2021,F,0-9,SEVERO,88
24/03/2021,F,10-19,ASINTOMATICO,22869
24/03/2021,F,10-19,CRITICO,<5
24/03/2021,F,10-19,LIEVE,6300
24/03/2021,F,10-19,PAUCI-SINTOMATICO,5613
24/03/2021,F,10-19,SEVERO,100
24/03/2021,F,20-29,ASINTOMATICO,25702
24/03/2021,F,20-29,CRITICO,16
24/03/2021,F,20-29,LIEVE,8225
24/03/2021,F,20-29,PAUCI-SINTOMATICO,7272
24/03/2021,F,20-29,SEVERO,292
24/03/2021,F,30-39,ASINTOMATICO,26660
24/03/2021,F,30-39,CRITICO,53
24/03/2021,F,30-39,LIEVE,9893
24/03/2021,F,30-39,PAUCI-SINTOMATICO,8632
24/03/2021,F,30-39,SEVERO,602
24/03/2021,F,40-49,ASINTOMATICO,33103
24/03/2021,F,40-49,CRITICO,93
24/03/2021,F,40-49,LIEVE,13665
24/03/2021,F,40-49,PAUCI-SINTOMATICO,11575
24/03/2021,F,40-49,SEVERO,825
24/03/2021,F,50-59,ASINTOMATICO,34621
24/03/2021,F,50-59,CRITICO,221
24/03/2021,F,50-59,LIEVE,14067
24/03/2021,F,50-59,PAUCI-SINTOMATICO,11896
24/03/2021,F,50-59,SEVERO,1647
24/03/2021,F,60-69,ASINTOMATICO,21868
24/03/2021,F,60-69,CRITICO,435
24/03/2021,F,60-69,LIEVE,8592
24/03/2021,F,60-69,PAUCI-SINTOMATICO,7265
24/03/2021,F,60-69,SEVERO,2158
24/03/2021,F,70-79,ASINTOMATICO,15512
24/03/2021,F,70-79,CRITICO,474
24/03/2021,F,70-79,LIEVE,6144
24/03/2021,F,70-79,PAUCI-SINTOMATICO,4902
24/03/2021,F,70-79,SEVERO,2998
24/03/2021,F,80-89,ASINTOMATICO,12317
24/03/2021,F,80-89,CRITICO,195
24/03/2021,F,80-89,LIEVE,3974
24/03/2021,F,80-89,PAUCI-SINTOMATICO,3006
24/03/2021,F,80-89,SEVERO,3397
24/03/2021,F,>90,ASINTOMATICO,4588
24/03/2021,F,>90,CRITICO,41
24/03/2021,F,>90,LIEVE,1211
24/03/2021,F,>90,PAUCI-SINTOMATICO,884
24/03/2021,F,>90,SEVERO,1024
24/03/2021,F,Non noto,ASINTOMATICO,23
24/03/2021,F,Non noto,CRITICO,<5
24/03/2021,F,Non noto,PAUCI-SINTOMATICO,<5
24/03/2021,F,Non noto,SEVERO,<5
24/03/2021,M,0-9,ASINTOMATICO,15550
24/03/2021,M,0-9,CRITICO,7
24/03/2021,M,0-9,LIEVE,3472
24/03/2021,M,0-9,PAUCI-SINTOMATICO,2569
24/03/2021,M,0-9,SEVERO,98
24/03/2021,M,10-19,ASINTOMATICO,25488
24/03/2021,M,10-19,CRITICO,12
24/03/2021,M,10-19,LIEVE,6662
24/03/2021,M,10-19,PAUCI-SINTOMATICO,5337
24/03/2021,M,10-19,SEVERO,112
24/03/2021,M,20-29,ASINTOMATICO,27160
24/03/2021,M,20-29,CRITICO,22
24/03/2021,M,20-29,LIEVE,8652
24/03/2021,M,20-29,PAUCI-SINTOMATICO,7225
24/03/2021,M,20-29,SEVERO,266
24/03/2021,M,30-39,ASINTOMATICO,26693
24/03/2021,M,30-39,CRITICO,64
24/03/2021,M,30-39,LIEVE,9297
24/03/2021,M,30-39,PAUCI-SINTOMATICO,7598
24/03/2021,M,30-39,SEVERO,596
24/03/2021,M,40-49,ASINTOMATICO,32111
24/03/2021,M,40-49,CRITICO,254
24/03/2021,M,40-49,LIEVE,12543
24/03/2021,M,40-49,PAUCI-SINTOMATICO,10156
24/03/2021,M,40-49,SEVERO,1501
24/03/2021,M,50-59,ASINTOMATICO,34734
24/03/2021,M,50-59,CRITICO,636
24/03/2021,M,50-59,LIEVE,13881
24/03/2021,M,50-59,PAUCI-SINTOMATICO,10909
24/03/2021,M,50-59,SEVERO,3098
24/03/2021,M,60-69,ASINTOMATICO,23132
24/03/2021,M,60-69,CRITICO,1058
24/03/2021,M,60-69,LIEVE,8627
24/03/2021,M,60-69,PAUCI-SINTOMATICO,6772
24/03/2021,M,60-69,SEVERO,3541
24/03/2021,M,70-79,ASINTOMATICO,14545
24/03/2021,M,70-79,CRITICO,1079
24/03/2021,M,70-79,LIEVE,5887
24/03/2021,M,70-79,PAUCI-SINTOMATICO,4159
24/03/2021,M,70-79,SEVERO,4099
24/03/2021,M,80-89,ASINTOMATICO,7612
24/03/2021,M,80-89,CRITICO,238
24/03/2021,M,80-89,LIEVE,3046
24/03/2021,M,80-89,PAUCI-SINTOMATICO,1880
24/03/2021,M,80-89,SEVERO,3229
24/03/2021,M,>90,ASINTOMATICO,1447
24/03/2021,M,>90,CRITICO,26
24/03/2021,M,>90,LIEVE,486
24/03/2021,M,>90,PAUCI-SINTOMATICO,295
24/03/2021,M,>90,SEVERO,548
24/03/2021,M,Non noto,ASINTOMATICO,18
24/03/2021,M,Non noto,LIEVE,<5
24/03/2021,M,Non noto,PAUCI-SINTOMATICO,<5
