iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
24/03/2021,F,0-9,6,79052
24/03/2021,F,10-19,6,148424
24/03/2021,F,20-29,20,199050
24/03/2021,F,30-39,75,215697
24/03/2021,F,40-49,266,286953
24/03/2021,F,50-59,943,306430
24/03/2021,F,60-69,2630,180327
24/03/2021,F,70-79,8158,136293
24/03/2021,F,80-89,19921,131914
24/03/2021,F,>90,14084,60643
24/03/2021,F,Non noto,<5,55
24/03/2021,M,0-9,<5,85220
24/03/2021,M,10-19,8,161707
24/03/2021,M,20-29,31,203775
24/03/2021,M,30-39,125,205479
24/03/2021,M,40-49,616,257800
24/03/2021,M,50-59,2483,291913
24/03/2021,M,60-69,7336,197773
24/03/2021,M,70-79,17393,143360
24/03/2021,M,80-89,23642,91562
24/03/2021,M,>90,7208,18794
24/03/2021,M,Non noto,<5,50
24/03/2021,Non noto,20-29,<5,<5
24/03/2021,Non noto,30-39,<5,<5
24/03/2021,Non noto,40-49,<5,<5
24/03/2021,Non noto,50-59,<5,<5
24/03/2021,Non noto,60-69,<5,<5
24/03/2021,Non noto,80-89,<5,7
