iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
06/10/2021,F,0-9,7,130894
06/10/2021,F,10-19,10,234080
06/10/2021,F,20-29,30,283802
06/10/2021,F,30-39,107,303072
06/10/2021,F,40-49,369,389905
06/10/2021,F,50-59,1354,403386
06/10/2021,F,60-69,3766,240593
06/10/2021,F,70-79,10685,177554
06/10/2021,F,80-89,24002,157363
06/10/2021,F,>90,16479,68973
06/10/2021,F,Non noto,<5,53
06/10/2021,M,0-9,8,140158
06/10/2021,M,10-19,10,255497
06/10/2021,M,20-29,46,300396
06/10/2021,M,30-39,181,290363
06/10/2021,M,40-49,835,355194
06/10/2021,M,50-59,3408,387668
06/10/2021,M,60-69,9826,258503
06/10/2021,M,70-79,22211,182024
06/10/2021,M,80-89,28438,109226
06/10/2021,M,>90,8734,22264
06/10/2021,M,Non noto,<5,45
06/10/2021,Non noto,20-29,<5,<5
06/10/2021,Non noto,30-39,<5,<5
06/10/2021,Non noto,40-49,<5,<5
06/10/2021,Non noto,50-59,<5,<5
06/10/2021,Non noto,60-69,<5,<5
06/10/2021,Non noto,80-89,<5,7
