SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI,iss_date
F,0-9,18,912699,25/08/2022
F,10-19,16,1294385,25/08/2022
F,20-29,22,1320228,25/08/2022
F,30-39,168,1601573,25/08/2022
F,40-49,534,1930664,25/08/2022
F,50-59,1837,1846658,25/08/2022
F,60-69,5060,1178741,25/08/2022
F,70-79,14116,813004,25/08/2022
F,80-89,31831,523947,25/08/2022
F,>90,22243,179839,25/08/2022
F,Non noto,27,135,25/08/2022
M,0-9,20,977827,25/08/2022
M,10-19,18,1295212,25/08/2022
M,20-29,30,1206386,25/08/2022
M,30-39,277,1339812,25/08/2022
M,40-49,1099,1596683,25/08/2022
M,50-59,4340,1584087,25/08/2022
M,60-69,12158,1045806,25/08/2022
M,70-79,27722,749854,25/08/2022
M,80-89,37184,393141,25/08/2022
M,>90,12624,68899,25/08/2022
M,Non noto,54,170,25/08/2022
Non noto,20-29,<5,<5,25/08/2022
Non noto,30-39,<5,<5,25/08/2022
Non noto,40-49,<5,<5,25/08/2022
Non noto,50-59,<5,<5,25/08/2022
Non noto,60-69,<5,<5,25/08/2022
Non noto,80-89,<5,7,25/08/2022
