iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
26/04/2022,F,0-9,14,741728
26/04/2022,F,10-19,13,1049609
26/04/2022,F,20-29,41,1014203
26/04/2022,F,30-39,154,1197415
26/04/2022,F,40-49,495,1440827
26/04/2022,F,50-59,1736,1277963
26/04/2022,F,60-69,4786,749503
26/04/2022,F,70-79,13288,495483
26/04/2022,F,80-89,29628,350957
26/04/2022,F,>90,20411,134996
26/04/2022,F,Non noto,<5,109
26/04/2022,M,0-9,11,795917
26/04/2022,M,10-19,16,1063780
26/04/2022,M,20-29,79,958144
26/04/2022,M,30-39,254,1011544
26/04/2022,M,40-49,1038,1207065
26/04/2022,M,50-59,4170,1143614
26/04/2022,M,60-69,11698,703545
26/04/2022,M,70-79,26509,471950
26/04/2022,M,80-89,34812,254702
26/04/2022,M,>90,11385,48488
26/04/2022,M,Non noto,<5,119
26/04/2022,Non noto,20-29,<5,<5
26/04/2022,Non noto,30-39,<5,<5
26/04/2022,Non noto,40-49,<5,<5
26/04/2022,Non noto,50-59,<5,<5
26/04/2022,Non noto,60-69,<5,<5
26/04/2022,Non noto,80-89,<5,7
