SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI,iss_date
F,0-9,17,904390,11/08/2022
F,10-19,15,1284002,11/08/2022
F,20-29,48,1303691,11/08/2022
F,30-39,164,1579796,11/08/2022
F,40-49,528,1903891,11/08/2022
F,50-59,1824,1812645,11/08/2022
F,60-69,5020,1150428,11/08/2022
F,70-79,13999,791300,11/08/2022
F,80-89,31529,511855,11/08/2022
F,>90,22031,176627,11/08/2022
F,Non noto,<5,113,11/08/2022
M,0-9,20,968774,11/08/2022
M,10-19,18,1284746,11/08/2022
M,20-29,83,1192258,11/08/2022
M,30-39,275,1322341,11/08/2022
M,40-49,1090,1575615,11/08/2022
M,50-59,4322,1558576,11/08/2022
M,60-69,12087,1023884,11/08/2022
M,70-79,27545,730960,11/08/2022
M,80-89,36858,383474,11/08/2022
M,>90,12475,67482,11/08/2022
M,Non noto,<5,114,11/08/2022
Non noto,20-29,<5,<5,11/08/2022
Non noto,30-39,<5,<5,11/08/2022
Non noto,40-49,<5,<5,11/08/2022
Non noto,50-59,<5,<5,11/08/2022
Non noto,60-69,<5,<5,11/08/2022
Non noto,80-89,<5,7,11/08/2022
