SESSO,AGE_GROUP,STATO_CLINICO,CASI,iss_date
F,0-9,ASINTOMATICO,46578,11/08/2022
F,0-9,CRITICO,9,11/08/2022
F,0-9,LIEVE,5022,11/08/2022
F,0-9,PAUCI-SINTOMATICO,7319,11/08/2022
F,0-9,SEVERO,113,11/08/2022
F,10-19,ASINTOMATICO,61677,11/08/2022
F,10-19,CRITICO,<5,11/08/2022
F,10-19,LIEVE,5527,11/08/2022
F,10-19,PAUCI-SINTOMATICO,8843,11/08/2022
F,10-19,SEVERO,47,11/08/2022
F,20-29,ASINTOMATICO,68425,11/08/2022
F,20-29,CRITICO,8,11/08/2022
F,20-29,LIEVE,6917,11/08/2022
F,20-29,PAUCI-SINTOMATICO,10548,11/08/2022
F,20-29,SEVERO,136,11/08/2022
F,30-39,ASINTOMATICO,83164,11/08/2022
F,30-39,CRITICO,16,11/08/2022
F,30-39,LIEVE,9083,11/08/2022
F,30-39,PAUCI-SINTOMATICO,13178,11/08/2022
F,30-39,SEVERO,195,11/08/2022
F,40-49,ASINTOMATICO,94477,11/08/2022
F,40-49,CRITICO,27,11/08/2022
F,40-49,LIEVE,11128,11/08/2022
F,40-49,PAUCI-SINTOMATICO,15589,11/08/2022
F,40-49,SEVERO,151,11/08/2022
F,50-59,ASINTOMATICO,105497,11/08/2022
F,50-59,CRITICO,51,11/08/2022
F,50-59,LIEVE,12272,11/08/2022
F,50-59,PAUCI-SINTOMATICO,19902,11/08/2022
F,50-59,SEVERO,281,11/08/2022
F,60-69,ASINTOMATICO,81161,11/08/2022
F,60-69,CRITICO,93,11/08/2022
F,60-69,LIEVE,7732,11/08/2022
F,60-69,PAUCI-SINTOMATICO,13740,11/08/2022
F,60-69,SEVERO,413,11/08/2022
F,70-79,ASINTOMATICO,59341,11/08/2022
F,70-79,CRITICO,100,11/08/2022
F,70-79,LIEVE,6017,11/08/2022
F,70-79,PAUCI-SINTOMATICO,10137,11/08/2022
F,70-79,SEVERO,761,11/08/2022
F,80-89,ASINTOMATICO,36658,11/08/2022
F,80-89,CRITICO,79,11/08/2022
F,80-89,LIEVE,4796,11/08/2022
F,80-89,PAUCI-SINTOMATICO,6657,11/08/2022
F,80-89,SEVERO,1256,11/08/2022
F,>90,ASINTOMATICO,11703,11/08/2022
F,>90,CRITICO,20,11/08/2022
F,>90,LIEVE,1705,11/08/2022
F,>90,PAUCI-SINTOMATICO,2176,11/08/2022
F,>90,SEVERO,612,11/08/2022
F,Non noto,ASINTOMATICO,16,11/08/2022
F,Non noto,PAUCI-SINTOMATICO,<5,11/08/2022
M,0-9,ASINTOMATICO,50283,11/08/2022
M,0-9,CRITICO,10,11/08/2022
M,0-9,LIEVE,5524,11/08/2022
M,0-9,PAUCI-SINTOMATICO,7854,11/08/2022
M,0-9,SEVERO,160,11/08/2022
M,10-19,ASINTOMATICO,60417,11/08/2022
M,10-19,CRITICO,8,11/08/2022
M,10-19,LIEVE,5329,11/08/2022
M,10-19,PAUCI-SINTOMATICO,8323,11/08/2022
M,10-19,SEVERO,48,11/08/2022
M,20-29,ASINTOMATICO,61069,11/08/2022
M,20-29,CRITICO,8,11/08/2022
M,20-29,LIEVE,5877,11/08/2022
M,20-29,PAUCI-SINTOMATICO,8934,11/08/2022
M,20-29,SEVERO,63,11/08/2022
M,30-39,ASINTOMATICO,71364,11/08/2022
M,30-39,CRITICO,21,11/08/2022
M,30-39,LIEVE,7061,11/08/2022
M,30-39,PAUCI-SINTOMATICO,10186,11/08/2022
M,30-39,SEVERO,87,11/08/2022
M,40-49,ASINTOMATICO,80113,11/08/2022
M,40-49,CRITICO,44,11/08/2022
M,40-49,LIEVE,8668,11/08/2022
M,40-49,PAUCI-SINTOMATICO,12167,11/08/2022
M,40-49,SEVERO,200,11/08/2022
M,50-59,ASINTOMATICO,88405,11/08/2022
M,50-59,CRITICO,117,11/08/2022
M,50-59,LIEVE,9672,11/08/2022
M,50-59,PAUCI-SINTOMATICO,15356,11/08/2022
M,50-59,SEVERO,402,11/08/2022
M,60-69,ASINTOMATICO,69276,11/08/2022
M,60-69,CRITICO,152,11/08/2022
M,60-69,LIEVE,6839,11/08/2022
M,60-69,PAUCI-SINTOMATICO,10796,11/08/2022
M,60-69,SEVERO,594,11/08/2022
M,70-79,ASINTOMATICO,53484,11/08/2022
M,70-79,CRITICO,181,11/08/2022
M,70-79,LIEVE,5494,11/08/2022
M,70-79,PAUCI-SINTOMATICO,8684,11/08/2022
M,70-79,SEVERO,1015,11/08/2022
M,80-89,ASINTOMATICO,28586,11/08/2022
M,80-89,CRITICO,112,11/08/2022
M,80-89,LIEVE,3668,11/08/2022
M,80-89,PAUCI-SINTOMATICO,4894,11/08/2022
M,80-89,SEVERO,1253,11/08/2022
M,>90,ASINTOMATICO,5160,11/08/2022
M,>90,CRITICO,18,11/08/2022
M,>90,LIEVE,822,11/08/2022
M,>90,PAUCI-SINTOMATICO,975,11/08/2022
M,>90,SEVERO,348,11/08/2022
M,Non noto,ASINTOMATICO,31,11/08/2022
M,Non noto,LIEVE,<5,11/08/2022
F,Non noto,LIEVE,<5,11/08/2022
M,Non noto,CRITICO,<5,11/08/2022
M,Non noto,PAUCI-SINTOMATICO,<5,11/08/2022
