iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
08/09/2021,F,0-9,7,124489
08/09/2021,F,10-19,8,227097
08/09/2021,F,20-29,28,277578
08/09/2021,F,30-39,104,294362
08/09/2021,F,40-49,358,381019
08/09/2021,F,50-59,1320,395941
08/09/2021,F,60-69,3695,235670
08/09/2021,F,70-79,10558,174253
08/09/2021,F,80-89,23782,154823
08/09/2021,F,>90,16304,67975
08/09/2021,F,Non noto,6,59
08/09/2021,M,0-9,7,133268
08/09/2021,M,10-19,9,248071
08/09/2021,M,20-29,45,294314
08/09/2021,M,30-39,172,283002
08/09/2021,M,40-49,815,346764
08/09/2021,M,50-59,3342,380849
08/09/2021,M,60-69,9688,253875
08/09/2021,M,70-79,22008,179006
08/09/2021,M,80-89,28176,107325
08/09/2021,M,>90,8637,21905
08/09/2021,M,Non noto,<5,49
08/09/2021,Non noto,20-29,<5,<5
08/09/2021,Non noto,30-39,<5,<5
08/09/2021,Non noto,40-49,<5,<5
08/09/2021,Non noto,50-59,<5,<5
08/09/2021,Non noto,60-69,<5,<5
08/09/2021,Non noto,80-89,<5,7
