iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
11/01/2022,F,0-9,8,235905
11/01/2022,F,10-19,12,421505
11/01/2022,F,20-29,31,498690
11/01/2022,F,30-39,117,502438
11/01/2022,F,40-49,409,625873
11/01/2022,F,50-59,1465,603011
11/01/2022,F,60-69,4072,347965
11/01/2022,F,70-79,11414,242215
11/01/2022,F,80-89,25395,189380
11/01/2022,F,>90,17395,78878
11/01/2022,F,Non noto,<5,79
11/01/2022,M,0-9,7,251918
11/01/2022,M,10-19,10,437765
11/01/2022,M,20-29,51,514602
11/01/2022,M,30-39,206,475531
11/01/2022,M,40-49,900,560012
11/01/2022,M,50-59,3660,575241
11/01/2022,M,60-69,10362,362751
11/01/2022,M,70-79,23438,243909
11/01/2022,M,80-89,30045,134017
11/01/2022,M,>90,9365,26415
11/01/2022,M,Non noto,5,77
11/01/2022,Non noto,20-29,<5,<5
11/01/2022,Non noto,30-39,<5,<5
11/01/2022,Non noto,40-49,<5,<5
11/01/2022,Non noto,50-59,<5,<5
11/01/2022,Non noto,60-69,<5,<5
11/01/2022,Non noto,80-89,<5,7
