iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
05/03/2021,F,0-9,ASINTOMATICO,11936
05/03/2021,F,0-9,CRITICO,6
05/03/2021,F,0-9,LIEVE,2421
05/03/2021,F,0-9,PAUCI-SINTOMATICO,1546
05/03/2021,F,0-9,SEVERO,85
05/03/2021,F,10-19,ASINTOMATICO,19735
05/03/2021,F,10-19,CRITICO,5
05/03/2021,F,10-19,LIEVE,4810
05/03/2021,F,10-19,PAUCI-SINTOMATICO,3576
05/03/2021,F,10-19,SEVERO,78
05/03/2021,F,20-29,ASINTOMATICO,22720
05/03/2021,F,20-29,CRITICO,16
05/03/2021,F,20-29,LIEVE,6176
05/03/2021,F,20-29,PAUCI-SINTOMATICO,4792
05/03/2021,F,20-29,SEVERO,239
05/03/2021,F,30-39,ASINTOMATICO,23709
05/03/2021,F,30-39,CRITICO,31
05/03/2021,F,30-39,LIEVE,7445
05/03/2021,F,30-39,PAUCI-SINTOMATICO,5751
05/03/2021,F,30-39,SEVERO,504
05/03/2021,F,40-49,ASINTOMATICO,29651
05/03/2021,F,40-49,CRITICO,74
05/03/2021,F,40-49,LIEVE,10229
05/03/2021,F,40-49,PAUCI-SINTOMATICO,7329
05/03/2021,F,40-49,SEVERO,615
05/03/2021,F,50-59,ASINTOMATICO,31704
05/03/2021,F,50-59,CRITICO,146
05/03/2021,F,50-59,LIEVE,10430
05/03/2021,F,50-59,PAUCI-SINTOMATICO,7363
05/03/2021,F,50-59,SEVERO,1092
05/03/2021,F,60-69,ASINTOMATICO,20114
05/03/2021,F,60-69,CRITICO,282
05/03/2021,F,60-69,LIEVE,6247
05/03/2021,F,60-69,PAUCI-SINTOMATICO,4645
05/03/2021,F,60-69,SEVERO,1498
05/03/2021,F,70-79,ASINTOMATICO,14544
05/03/2021,F,70-79,CRITICO,316
05/03/2021,F,70-79,LIEVE,4598
05/03/2021,F,70-79,PAUCI-SINTOMATICO,3070
05/03/2021,F,70-79,SEVERO,2142
05/03/2021,F,80-89,ASINTOMATICO,12418
05/03/2021,F,80-89,CRITICO,162
05/03/2021,F,80-89,LIEVE,3167
05/03/2021,F,80-89,PAUCI-SINTOMATICO,2114
05/03/2021,F,80-89,SEVERO,2798
05/03/2021,F,>90,ASINTOMATICO,5133
05/03/2021,F,>90,CRITICO,32
05/03/2021,F,>90,LIEVE,1072
05/03/2021,F,>90,PAUCI-SINTOMATICO,747
05/03/2021,F,>90,SEVERO,844
05/03/2021,F,Non noto,ASINTOMATICO,24
05/03/2021,F,Non noto,PAUCI-SINTOMATICO,<5
05/03/2021,F,Non noto,SEVERO,<5
05/03/2021,M,0-9,ASINTOMATICO,13045
05/03/2021,M,0-9,CRITICO,7
05/03/2021,M,0-9,LIEVE,2613
05/03/2021,M,0-9,PAUCI-SINTOMATICO,1603
05/03/2021,M,0-9,SEVERO,84
05/03/2021,M,10-19,ASINTOMATICO,21704
05/03/2021,M,10-19,CRITICO,5
05/03/2021,M,10-19,LIEVE,5090
05/03/2021,M,10-19,PAUCI-SINTOMATICO,3607
05/03/2021,M,10-19,SEVERO,101
05/03/2021,M,20-29,ASINTOMATICO,23695
05/03/2021,M,20-29,CRITICO,17
05/03/2021,M,20-29,LIEVE,6516
05/03/2021,M,20-29,PAUCI-SINTOMATICO,4541
05/03/2021,M,20-29,SEVERO,253
05/03/2021,M,30-39,ASINTOMATICO,23415
05/03/2021,M,30-39,CRITICO,37
05/03/2021,M,30-39,LIEVE,7018
05/03/2021,M,30-39,PAUCI-SINTOMATICO,4758
05/03/2021,M,30-39,SEVERO,464
05/03/2021,M,40-49,ASINTOMATICO,28457
05/03/2021,M,40-49,CRITICO,177
05/03/2021,M,40-49,LIEVE,9410
05/03/2021,M,40-49,PAUCI-SINTOMATICO,6246
05/03/2021,M,40-49,SEVERO,1091
05/03/2021,M,50-59,ASINTOMATICO,31416
05/03/2021,M,50-59,CRITICO,440
05/03/2021,M,50-59,LIEVE,10307
05/03/2021,M,50-59,PAUCI-SINTOMATICO,6669
05/03/2021,M,50-59,SEVERO,2121
05/03/2021,M,60-69,ASINTOMATICO,21495
05/03/2021,M,60-69,CRITICO,723
05/03/2021,M,60-69,LIEVE,6525
05/03/2021,M,60-69,PAUCI-SINTOMATICO,4157
05/03/2021,M,60-69,SEVERO,2553
05/03/2021,M,70-79,ASINTOMATICO,13458
05/03/2021,M,70-79,CRITICO,761
05/03/2021,M,70-79,LIEVE,4477
05/03/2021,M,70-79,PAUCI-SINTOMATICO,2591
05/03/2021,M,70-79,SEVERO,3179
05/03/2021,M,80-89,ASINTOMATICO,7431
05/03/2021,M,80-89,CRITICO,171
05/03/2021,M,80-89,LIEVE,2430
05/03/2021,M,80-89,PAUCI-SINTOMATICO,1356
05/03/2021,M,80-89,SEVERO,2584
05/03/2021,M,>90,ASINTOMATICO,1488
05/03/2021,M,>90,CRITICO,17
05/03/2021,M,>90,LIEVE,400
05/03/2021,M,>90,PAUCI-SINTOMATICO,238
05/03/2021,M,>90,SEVERO,455
05/03/2021,M,Non noto,ASINTOMATICO,18
05/03/2021,M,Non noto,LIEVE,<5
05/03/2021,M,Non noto,PAUCI-SINTOMATICO,<5
