iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
05/03/2021,F,0-9,6,65906
05/03/2021,F,10-19,5,127428
05/03/2021,F,20-29,21,175872
05/03/2021,F,30-39,71,189554
05/03/2021,F,40-49,247,252876
05/03/2021,F,50-59,845,271428
05/03/2021,F,60-69,2410,158356
05/03/2021,F,70-79,7509,120165
05/03/2021,F,80-89,18550,121301
05/03/2021,F,>90,13201,57559
05/03/2021,F,Non noto,<5,53
05/03/2021,M,0-9,<5,71221
05/03/2021,M,10-19,6,138891
05/03/2021,M,20-29,30,179081
05/03/2021,M,30-39,113,180292
05/03/2021,M,40-49,566,224644
05/03/2021,M,50-59,2313,256158
05/03/2021,M,60-69,6817,175174
05/03/2021,M,70-79,16159,127647
05/03/2021,M,80-89,22036,83413
05/03/2021,M,>90,6743,17470
05/03/2021,M,Non noto,<5,49
05/03/2021,Non noto,20-29,<5,<5
05/03/2021,Non noto,30-39,<5,<5
05/03/2021,Non noto,40-49,<5,<5
05/03/2021,Non noto,50-59,<5,<5
05/03/2021,Non noto,60-69,<5,<5
05/03/2021,Non noto,80-89,<5,7
